,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.999999880791,6.81334509228e-17,2.35196484615e-38,0.0,0.0,9.96762921091e-08,0.0,9.98911673378e-08,1.3731765305e-31,8.93737503709e-13,1.81048701623e-18,1.3544966561e-35,2.82206879742e-33,2.20308414533e-33,9.98254563456e-08,9.99637848054e-08
1,7.76208253488e-13,0.999999761581,1.69318511212e-07,2.26977182212e-30,9.96498670247e-08,4.15768639355e-27,1.88811195259e-24,8.35413716474e-30,1.029118402e-21,7.45476915604e-15,0.0,1.55483324397e-37,4.06792421401e-31,0.0,1.01167209721e-07,1.00036643857e-07
2,6.26286905647e-34,9.99191769324e-08,0.999999642372,9.95710180973e-08,2.79650760014e-12,9.3115945635e-26,1.7512079035e-24,0.0,9.99939118174e-08,0.0,0.0,5.70686457406e-28,0.0,5.88787854666e-30,1.00132820493e-23,1.00571720801e-19
3,0.0,4.52339278809e-37,1.33348038389e-07,0.999999880791,5.29197015747e-16,2.88776689941e-27,1.01306810052e-07,0.0,3.12288045697e-15,0.0,8.60820042031e-27,2.07599648583e-09,5.42083362621e-24,1.05001596751e-07,0.0,3.76251438353e-32
4,2.78960088996e-29,1.31375344381e-07,9.98094620286e-08,1.23441203074e-14,0.999999880791,0.0,9.97734872499e-08,1.92376700611e-23,2.42328849188e-35,5.40245358237e-19,0.0,2.40249693555e-34,1.27338708467e-07,2.40442535936e-24,2.56625128831e-33,3.80020725999e-09
5,9.99899114618e-08,0.0,3.29220993946e-37,1.84854472947e-38,0.0,0.999999880791,0.0,1.73316000513e-29,1.23779881744e-12,8.71602612512e-33,2.69651003748e-08,5.76439907804e-16,0.0,2.07481212215e-21,3.41336744161e-15,1.47093284689e-26
6,3.88876717878e-32,7.73311983463e-24,1.21496172567e-17,1.03347474578e-07,1.00826433425e-07,2.91110149069e-29,0.999999642372,1.3296752273e-23,1.23072600582e-21,1.12099627358e-07,2.79932202088e-22,9.83085541861e-08,1.29394040839e-19,4.9535442149e-19,2.41410310495e-24,4.75271891657e-28
7,9.98997435886e-08,1.10622378528e-30,0.0,0.0,2.11579535364e-24,4.03110043026e-22,6.45535094491e-24,0.999999642372,0.0,1.07323039344e-07,1.02465996576e-07,6.76495170769e-29,1.16191600341e-07,5.62180664002e-17,1.08809798213e-29,3.61164431695e-10
8,5.95556587817e-27,6.98409399941e-20,1.17354211682e-07,3.91917271206e-12,2.0040953596e-33,9.94472699745e-08,2.40275798351e-23,0.0,0.999999761581,4.98730354839e-30,8.5698394436e-33,9.96500588712e-08,0.0,3.04052466004e-30,1.14172230781e-07,4.44961988833e-34
9,1.08429237811e-10,1.09652220053e-16,6.96612152269e-31,2.97400070758e-31,8.07618121938e-18,2.0917803107e-20,1.44921671108e-07,9.99119365019e-08,1.02313079254e-26,0.999999642372,3.044618239e-17,2.26536018304e-15,1.47821884016e-24,2.71220318217e-29,1.04701811665e-07,3.76282457322e-20
10,4.06204734842e-16,0.0,0.0,8.41728359279e-30,0.0,1.00418596105e-07,8.49738326796e-24,1.00354640153e-07,2.43213881309e-30,4.30600051346e-17,0.999999880791,9.97660691837e-08,1.05394428067e-23,1.05157525354e-07,8.00420434548e-31,2.17455931501e-28
11,4.39288880445e-32,0.0,3.06720798789e-26,1.0029073394e-07,1.5555467986e-35,7.39877714651e-10,1.00049042828e-07,5.36923207785e-34,1.00433538819e-07,2.14216158767e-20,1.00286527527e-07,0.999999880791,2.0466520387e-38,2.86775464486e-12,2.48202903815e-23,0.0
12,1.60735802043e-27,1.43861559572e-31,7.83280484689e-27,2.8146034052e-21,1.00432771433e-07,1.40719557668e-37,4.79075010727e-18,1.17794996868e-07,0.0,2.44027438053e-27,1.76978038554e-20,1.63184157642e-35,0.999999761581,1.00228774613e-07,0.0,1.0015997276e-07
13,0.0,0.0,2.45157342633e-27,1.00020614013e-07,1.33109793475e-28,8.69288429952e-25,2.95834968194e-25,6.73005510896e-27,5.59157144256e-37,0.0,9.82874670541e-10,7.64406263607e-20,9.99950628966e-08,0.999999761581,0.0,1.19623585531e-23
14,9.9930225872e-08,1.37595392857e-07,1.6511915724e-19,3.95038100905e-33,1.94977446173e-29,3.70401354033e-09,7.01472866293e-25,1.56203817673e-30,1.39872341265e-07,1.00709193873e-07,4.11774655466e-30,7.6614692562e-18,0.0,0.0,0.999999642372,2.67457799443e-22
15,9.99853355665e-08,9.99950628966e-08,3.13569306817e-20,0.0,3.60457252984e-16,1.8026902891e-28,0.0,4.58125128121e-16,0.0,3.49248187837e-33,0.0,0.0,2.37543844187e-13,6.03208661375e-29,3.28573181772e-32,0.999999880791
0,0.999999880791,5.42345880775e-32,1.00540098913e-07,0.0,6.25355923304e-34,1.031546604e-30,9.88666499779e-08,6.02690590767e-08,1.71571949771e-16,2.17358615971e-23,1.01150995135e-07,1.23153156243e-32,3.13591996814e-09,5.16343871807e-35,1.58389777091e-22,0.0
1,0.0,0.999999880791,2.35455138779e-22,1.00006310788e-07,1.9563012631e-36,4.12776680705e-29,3.1550114422e-27,1.37152846351e-22,8.57904112195e-08,1.00003830994e-07,0.0,1.76825163779e-24,0.0,4.7693515539e-22,0.0,2.9647154683e-29
2,9.99855203077e-08,1.26509931846e-20,0.999999880791,0.0,0.0,0.0,2.565387277e-35,5.87181735934e-23,6.7662234926e-08,0.0,1.37478320182e-27,1.00014894144e-07,7.55645531465e-33,2.27316260134e-20,6.43778863552e-10,0.0
3,0.0,1.00041987139e-07,2.63098801218e-34,0.999999880791,6.27676470799e-08,9.83790755527e-08,1.65012728644e-34,3.86442951955e-23,3.36825098042e-30,3.51912543431e-16,3.35863244628e-35,1.50965936486e-23,2.88777085011e-32,1.00558125382e-07,4.37990887828e-30,9.95907711854e-08
4,4.51119109665e-30,1.27883666534e-26,1.38494852603e-33,1.67891167635e-09,0.999999761581,9.93790081338e-08,4.28192937724e-36,2.34340298277e-08,0.0,5.39123649628e-18,1.17784324516e-07,0.0,1.5742290499e-23,1.00091995137e-07,4.11148709831e-21,2.66349640184e-25
5,6.76753986865e-27,6.04852579154e-18,2.7123395681e-35,9.98639251293e-08,1.04236342224e-07,0.999999761581,1.18019438666e-09,4.43710332013e-15,2.36449115574e-27,1.00288055194e-07,1.41363712657e-20,5.99621275476e-34,5.17803244726e-10,2.55633721107e-23,1.75755679423e-34,1.00390259661e-07
6,9.98694531518e-08,1.22161689e-17,1.48285873447e-20,3.27595887523e-31,9.52430999974e-33,1.65291402787e-09,0.999999761581,3.75543644576e-14,1.00097715006e-07,1.0038451137e-07,1.66616963469e-25,4.39699868535e-31,9.97346774056e-08,0.0,0.0,2.8601593273e-21
7,2.01560990121e-08,8.265605024e-29,3.20430049043e-22,3.63121139133e-37,8.12983916298e-11,4.54261207374e-26,9.86344714013e-26,0.999999880791,0.0,9.99984877126e-08,9.80957750585e-08,0.0,5.5547968329e-35,5.68668478026e-25,2.81763140382e-37,0.0
8,3.8902105685e-15,1.00592274066e-07,1.00114903034e-07,2.02883507085e-31,0.0,2.43836040494e-32,9.91081350321e-08,3.08184180065e-28,0.999999880791,2.32824644225e-23,0.0,1.00328996666e-07,9.54786792971e-21,1.56216091157e-33,8.37966311861e-32,6.36618051756e-19
9,1.65880744238e-24,1.00098489497e-07,2.01111237762e-31,2.00583458195e-15,5.53810062074e-21,9.99973508442e-08,9.98843034949e-08,1.00113375368e-07,1.59806000389e-18,0.999999761581,1.57796430957e-36,0.0,3.47547027106e-33,8.75588346513e-33,0.0,7.34422274834e-33
10,9.93615714151e-08,0.0,1.29591212263e-18,1.41413416813e-34,1.0113594584e-07,3.96947076923e-20,3.94623623384e-27,1.00140880477e-07,0.0,2.40923811427e-30,0.999999761581,2.89017028203e-34,1.00872597386e-07,4.16091488691e-16,1.03040044053e-07,4.05987654459e-32
11,2.12501424718e-26,2.25060746949e-13,1.00089700084e-07,2.0525103554e-21,0.0,3.0596434062e-36,5.26601250666e-31,9.38110713958e-36,9.86112738133e-08,0.0,1.45913493878e-34,0.999999642372,1.10220718023e-19,1.08727283633e-13,1.02325373064e-07,1.29845773245e-07
12,3.88763160553e-10,1.07239796673e-29,3.28100479111e-20,1.32878005399e-27,2.01584070376e-19,9.88730661788e-08,9.80860477284e-08,2.89974496832e-19,2.40065322688e-21,1.33170367342e-26,1.0199918421e-07,1.25756501171e-19,0.999999761581,2.7667151535e-25,8.00830552588e-14,9.97067104436e-08
13,0.0,5.22146057068e-18,4.97142818286e-21,1.00005166814e-07,9.99977274319e-08,2.53668832572e-36,0.0,3.1202170359e-20,0.0,8.3070443768e-37,3.80617182616e-23,9.62583697259e-21,0.0,0.999999880791,6.97126356641e-09,4.15707765524e-30
14,6.58975804036e-16,1.5088875884e-31,1.00276203341e-07,6.23755506113e-32,4.43454655328e-23,2.23327043812e-37,0.0,8.11881444157e-24,2.70952607936e-28,0.0,1.04093302866e-07,1.01452606316e-07,2.78764993944e-13,1.00797784341e-07,0.999999880791,1.42207412648e-21
15,7.45891743662e-31,1.21628976083e-14,1.712867883e-24,1.00270654002e-07,1.57012834896e-21,1.00009927451e-07,5.29047100842e-18,1.7637393716e-30,1.79622137667e-16,5.95608780518e-27,2.45421084294e-28,1.72310279822e-07,1.00065463471e-07,1.01786500051e-16,8.12376478412e-18,0.999999642372
0,0.999999761581,8.44741097228e-33,2.6284646569e-23,1.13850830985e-07,4.18962287085e-09,0.0,1.2187648224e-07,9.72592094603e-32,3.66265966491e-33,9.98048932388e-08,2.34575596503e-30,1.11864518707e-29,2.42026871118e-34,3.90227734693e-16,1.00039123652e-07,6.68380517599e-10
1,1.11307375762e-28,0.999999761581,2.28364971377e-08,0.0,1.07307477823e-26,1.0030527875e-07,1.29574374341e-07,7.03604072783e-08,1.01283823994e-07,3.21291894097e-21,0.0,3.51110787089e-23,8.69487932875e-24,8.40270177933e-34,3.43158684595e-26,6.28792022894e-08
2,3.50081323763e-36,1.00003070713e-07,0.999999880791,2.33466072776e-29,3.87375713728e-08,2.47517295549e-09,9.99666411872e-08,2.93821266584e-36,0.0,1.24276469518e-30,0.0,2.04105463542e-15,2.07163328543e-28,0.0,0.0,4.03674065093e-18
3,9.9994288405e-08,0.0,7.28638380192e-23,0.999999880791,1.00009550863e-07,0.0,2.05427906925e-30,0.0,0.0,7.30858797829e-26,1.00006879222e-07,3.14663549584e-26,1.17476509673e-22,3.09751346254e-23,4.79689951684e-16,1.71502636421e-23
4,1.76039217925e-11,2.57956581665e-36,1.00032060857e-07,9.92808679712e-08,0.999999880791,1.68575317373e-31,2.86471235622e-10,0.0,0.0,1.00481052812e-07,1.90559231396e-18,1.00053249241e-07,6.36540063286e-35,8.00307925633e-30,1.21553866289e-36,2.05742594098e-28
5,0.0,9.96071065629e-08,1.00418596105e-07,1.15232117004e-35,7.93810725734e-29,0.999999880791,1.05026313363e-32,2.08194701442e-14,7.84813972707e-14,7.69933001145e-31,8.4958688759e-22,1.00302976591e-07,2.00490060109e-08,2.5204608977e-31,0.0,1.84181796333e-28
6,1.03193251277e-07,9.8758661693e-08,9.98951676934e-08,3.19526137508e-26,1.00494091271e-07,4.9880722743e-27,0.999999761581,2.58594108076e-28,2.95810438564e-23,9.98075577741e-08,0.0,1.52771774782e-22,0.0,3.99207101823e-33,1.99855309562e-25,1.14290770625e-07
7,4.20323866012e-31,1.00702472139e-07,2.40170280316e-24,2.53062363411e-32,0.0,3.3160867715e-12,4.2957975555e-31,0.999999880791,1.00587286056e-07,8.90523353511e-35,5.62055690266e-34,2.93548214543e-34,9.97946116854e-08,5.80758144324e-20,9.94601734305e-08,9.94389282027e-08
8,2.68902172206e-23,1.37116742849e-07,1.20573949677e-20,8.13551852554e-33,1.95760166973e-27,1.60484459055e-10,4.25501810495e-19,1.13220885112e-07,0.999999761581,1.45323866718e-07,2.6913546896e-28,3.11627893629e-13,7.84165618038e-19,1.01055348978e-07,5.14252934227e-18,3.38833496526e-19
9,9.84614914046e-08,1.05678468947e-19,7.30401887091e-18,2.97424280107e-21,2.61465906704e-08,1.72921525033e-24,9.84059127518e-08,1.01771904014e-28,1.00699786287e-07,0.999999761581,2.91829009258e-25,7.44665200614e-08,5.82687436302e-32,9.82703056707e-08,4.21240742444e-22,1.07469512479e-22
10,5.27492200152e-30,0.0,5.63550397776e-25,1.00374172973e-07,3.15837041854e-20,1.99968806359e-19,0.0,1.54675195416e-30,1.04145165795e-29,4.67164740736e-22,0.999999761581,1.00457100416e-07,1.05561852592e-07,1.14129676376e-07,2.6523661957e-23,2.78532396326e-38
11,2.12307026525e-33,2.11342184374e-26,1.82783721492e-09,6.5377112325e-21,1.00180237439e-07,9.98344020786e-08,2.98514704037e-26,8.05646732432e-38,4.18705093584e-20,1.86700592764e-08,1.00856624385e-07,0.999999880791,5.99513430738e-20,1.84393633905e-18,0.0,0.0
12,0.0,3.12447715002e-30,3.56633160524e-23,1.00442512605e-19,0.0,1.00020997706e-07,0.0,9.98425875309e-08,2.44588768302e-32,0.0,1.00082829135e-07,1.7381217303e-26,0.999999880791,7.68922384212e-26,2.94421859245e-19,3.50597815494e-25
13,4.15749994652e-14,5.33094494115e-34,2.51860449824e-32,5.48097503527e-14,6.75490844911e-25,1.49001083158e-25,1.47617212227e-33,8.42495232937e-17,1.00394089486e-07,9.58855537192e-08,1.00014133864e-07,1.01063871627e-14,1.68475530835e-14,0.999999761581,1.01061907287e-07,2.28947279477e-26
14,9.98894549298e-08,7.81630862647e-32,8.5183346076e-35,6.23248067738e-12,6.00326158826e-34,3.98500315612e-37,1.36436873941e-30,9.73010187977e-08,1.01966513467e-22,8.19310196605e-26,1.07607703554e-23,0.0,1.28362938836e-14,1.00999081099e-07,0.999999761581,9.86440085171e-08
15,3.91790549656e-14,1.65159761423e-08,9.03148615312e-17,1.3530266145e-25,1.22819242085e-30,4.36596318946e-30,3.50682760608e-10,9.9373323792e-08,4.88658350136e-32,2.88556240732e-36,0.0,0.0,3.60516296776e-24,0.0,9.8744912691e-08,0.999999880791
0,0.999999761581,4.39734105248e-13,1.98484330583e-21,7.54926951998e-36,2.78929438456e-20,3.80170028791e-09,2.86682517725e-08,6.63543039188e-19,7.24803528706e-18,1.01199049141e-07,3.27272890264e-28,2.40852134483e-30,1.73808382184e-24,1.00255732605e-07,1.11730694226e-20,1.00386621682e-07
1,2.11108284716e-13,1.0,1.19576782581e-35,4.02349087188e-17,3.02612378013e-34,9.93945548089e-08,9.9996199765e-08,6.45493421796e-16,6.38432952194e-17,2.7303867175e-13,7.6246994657e-34,9.97457050289e-08,1.00360971089e-07,2.47880079016e-32,0.0,8.30525054258e-34
2,2.54221569368e-24,7.03890895574e-32,0.999999761581,1.01920340239e-20,2.08057939177e-31,1.00030540295e-07,1.30735152662e-34,1.97988724144e-24,4.86041004722e-16,1.11969770574e-25,9.9952721655e-08,4.53603348611e-18,1.06192792165e-36,9.91979618448e-08,1.00029780015e-07,7.50126250472e-31
3,0.0,2.78180290702e-20,1.89481991499e-19,0.999999761581,2.50276608719e-30,1.23478523564e-27,0.0,6.67646285479e-11,3.73078091022e-27,6.12656549293e-36,9.99944802516e-08,1.00003447301e-07,9.99914320232e-08,0.0,1.40574760875e-21,0.0
4,2.32218057521e-22,4.89108566823e-29,1.16691086143e-26,1.84872281966e-21,0.999999761581,6.95567512113e-34,6.40830655615e-27,6.27311393941e-08,0.0,9.9265918152e-08,9.93826176909e-08,0.0,9.95235538426e-08,7.13720387329e-29,8.70005862907e-08,1.27603712485e-07
